YEAR,FIPS,UNEMP,EMP
1990,1001,1095,15813
1990,1003,2445,44379
1990,1005,898,10592
1990,1007,676,6758
1990,1009,1213,17955
1990,1011,548,3859
1990,1013,1133,7705
1990,1015,3679,47840
1990,1017,1273,16432
1990,1019,951,8693
1990,1021,1354,13833
1990,1023,844,5867
1990,1025,955,10756
1990,1027,449,5889
1990,1029,411,5868
1990,1031,1189,17647
1990,1033,1975,22526
1990,1035,561,5202
1990,1037,320,4663
1990,1039,1327,15834
1990,1041,453,5629
1990,1043,2321,30527
1990,1045,1151,19384
1990,1047,2363,17096
1990,1049,2037,25349
1990,1051,1383,21150
1990,1053,1297,13706
1990,1055,5106,41522
1990,1057,835,7658
1990,1059,1543,12098
1990,1061,525,10584
1990,1063,439,3338
1990,1065,479,5725
1990,1067,328,6539
1990,1069,1781,39065
1990,1071,2159,21518
1990,1073,15701,295321
1990,1075,612,7077
1990,1077,2640,35389
1990,1079,1265,13875
1990,1081,2655,40802
1990,1083,1739,24914
1990,1085,758,4068
1990,1087,824,8396
1990,1089,6191,122589
1990,1091,658,9178
1990,1093,2027,12374
1990,1095,3154,32102
1990,1097,11825,159194
1990,1099,1084,9236
1990,1101,6289,94637
1990,1103,3230,47234
1990,1105,631,4229
1990,1107,788,7818
1990,1109,745,11564
1990,1111,717,8561
1990,1113,1760,19926
1990,1115,1293,22102
1990,1117,1733,51538
1990,1119,583,5416
1990,1121,3097,30550
1990,1123,1235,18006
1990,1125,3209,66816
1990,1127,2823,27387
1990,1129,705,5893
1990,1131,525,3714
1990,1133,1241,9241
1990,2013,5,1298
1990,2016,17,3525
1990,2020,6369,115696
1990,2050,293,3748
1990,2060,20,453
1990,2068,132,860
1990,2070,81,1131
1990,2090,3077,32503
1990,2100,78,1006
1990,2110,791,14298
1990,2122,2253,16546
1990,2130,587,6845
1990,2150,336,5964
1990,2158,165,1200
1990,2164,27,414
1990,2170,2170,15691
1990,2180,290,2867
1990,2185,101,2696
1990,2188,314,1791
1990,2201,320,2563
1990,2220,231,4232
1990,2232,259,2247
1990,2240,284,1944
1990,2261,585,4585
1990,2280,315,3274
1990,2290,283,1662
1990,4001,2261,15029
1990,4003,2379,34446
1990,4005,3614,44510
1990,4007,1149,14406
1990,4009,632,8366
1990,4011,221,3154
1990,4012,370,5074
1990,4013,48035,1067092
1990,4015,2167,42396
1990,4017,2865,23572
1990,4019,14318,299908
1990,4021,2832,42655
1990,4023,1730,11080
1990,4025,2035,42926
1990,4027,9701,37263
1990,5001,482,9754
1990,5003,656,10305
1990,5005,725,11208
1990,5007,1785,47259
1990,5009,788,13099
1990,5011,491,4711
1990,5013,307,2334
1990,5015,594,9355
1990,5017,627,5365
1990,5019,748,9269
1990,5021,572,7574
1990,5023,618,8137
1990,5025,238,3273
1990,5027,882,10958
1990,5029,562,8400
1990,5031,2172,34882
1990,5033,1755,19264
1990,5035,1707,21114
1990,5037,720,7848
1990,5039,358,3897
1990,5041,721,6156
1990,5043,765,7883
1990,5045,2350,29731
1990,5047,587,6594
1990,5049,254,3794
1990,5051,2140,30115
1990,5053,353,6506
1990,5055,1089,14561
1990,5057,907,9362
1990,5059,1020,10476
1990,5061,528,6041
1990,5063,1143,14569
1990,5065,234,4317
1990,5067,970,7468
1990,5069,3466,34788
1990,5071,684,7543
1990,5073,279,3434
1990,5075,841,6948
1990,5077,547,4082
1990,5079,364,4318
1990,5081,329,6857
1990,5083,591,8702
1990,5085,1181,18555
1990,5087,290,5751
1990,5089,343,4595
1990,5091,1034,16124
1990,5093,2371,22622
1990,5095,343,4123
1990,5097,127,3268
1990,5099,482,4145
1990,5101,240,2746
1990,5103,2038,12637
1990,5105,312,3477
1990,5107,1191,9487
1990,5109,448,4192
1990,5111,1097,10181
1990,5113,364,7366
1990,5115,1531,22176
1990,5117,284,4096
1990,5119,10218,176954
1990,5121,691,6620
1990,5123,1357,10176
1990,5125,1896,31839
