year,state_fips_code,asd_code,asd_desc,BARLEY,BEANS,CANOLA,CHICKPEAS,CORN,COTTON,FLAXSEED,LENTILS,MUSTARD,OATS,PEANUTS,PEAS,POTATOES,RICE,RYE,SAFFLOWER,SORGHUM,SOYBEANS,SUGARBEETS,SUNFLOWER,SWEET CORN,SWEET POTATOES,TOMATOES,WHEAT
1980,01,10,NORTHERN VALLEY,NA,NA,NA,NA,22000,32800,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,2400,108000,NA,NA,NA,NA,NA,16000
1980,01,20,MOUNTAINS & EASTERN VALLEY,NA,NA,NA,NA,58000,140600,NA,NA,NA,2600,NA,NA,NA,NA,NA,NA,4000,443000,NA,NA,NA,NA,NA,63000
1980,01,21,HISTORIC DISTRICT 21,NA,NA,NA,NA,27000,13200,NA,NA,NA,2600,NA,NA,NA,NA,NA,NA,1700,100000,NA,NA,NA,NA,NA,19000
1980,01,30,UPPER PLAINS & PIEDMONT,NA,NA,NA,NA,59000,21400,NA,NA,NA,3600,NA,NA,NA,NA,NA,NA,8000,240000,NA,NA,NA,NA,NA,21000
1980,01,40,BLACK BELT,NA,NA,NA,NA,16000,19200,NA,NA,NA,8800,NA,NA,NA,NA,NA,NA,3800,240000,NA,NA,NA,NA,NA,34000
1980,01,50,COASTAL PLAINS & GULF COAST,NA,NA,NA,NA,47000,60000,NA,NA,NA,17600,NA,NA,NA,NA,NA,NA,5500,319000,NA,NA,NA,NA,NA,37000
1980,01,60,WIREGRASS,NA,NA,NA,NA,22000,18700,NA,NA,NA,4800,NA,NA,NA,NA,NA,NA,2800,128000,NA,NA,NA,NA,NA,11000
1980,01,70,HISTORIC DISTRICT 70,NA,NA,NA,NA,61000,2040,NA,NA,NA,24000,NA,NA,NA,NA,NA,NA,2600,199000,NA,NA,NA,NA,NA,25000
1980,01,80,HISTORIC DISTRICT 80,NA,NA,NA,NA,74000,11900,NA,NA,NA,16100,NA,NA,NA,NA,NA,NA,3200,202000,NA,NA,NA,NA,NA,59000
1980,01,90,HISTORIC DISTRICT 90,NA,NA,NA,NA,154000,5160,NA,NA,NA,7900,NA,NA,NA,NA,NA,NA,31000,221000,NA,NA,NA,NA,NA,40000
1980,04,20,NORTHERN,2200,NA,NA,NA,9500,5950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2700,NA,NA,NA,NA,NA,NA,9000
1980,04,50,CENTRAL,43000,NA,NA,NA,8000,399050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,NA,9100,NA,NA,NA,NA,162500
1980,04,70,SOUTHWESTERN,8000,NA,NA,NA,NA,114750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,NA,200,NA,NA,NA,NA,38000
1980,04,90,SOUTHEASTERN,6800,NA,NA,NA,32500,72550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14800,NA,100,NA,NA,NA,NA,15500
1980,05,10,NORTHWEST,NA,NA,NA,NA,3300,NA,NA,NA,NA,1100,NA,NA,NA,NA,NA,NA,1500,2100,NA,NA,NA,NA,NA,1600
1980,05,20,NORTH CENTRAL,NA,NA,NA,NA,3200,NA,NA,NA,NA,1800,NA,NA,NA,NA,NA,NA,3000,5400,NA,NA,NA,NA,NA,1200
1980,05,30,NORTHEAST,NA,NA,NA,NA,23000,261500,NA,NA,NA,4500,NA,NA,NA,475000,NA,NA,209000,1560000,NA,NA,NA,NA,NA,385000
1980,05,40,WEST CENTRAL,NA,NA,NA,NA,3600,NA,NA,NA,NA,4800,NA,NA,NA,4000,NA,NA,7000,84000,NA,NA,NA,NA,NA,15000
