fips,year,acres,liability_amt,prem_amt,subsidy_amt,indem_amt
1000,1989,0,0,0,0,0
1001,1989,5109,1329017,114824,32297,144244
1001,1990,5981,1567620,133428,38932,247528
1001,1991,4978,1271698,119095,34483,30280
1001,1992,4436,1164933,91592,26731,2242
1001,1993,4367,1151089,93233,27698,130355
1001,1994,7100,1896145,153243,45447,203375
1001,1995,14225,2693620,233994,139278,1762737
1001,1996,11735,2976696,332473,158777,88204
1001,1997,10862,2200031,277203,133314,61289
1001,1998,11682,2230082,314482,156395,170846
1001,1999,12279,2200427,336313,160338,123907
1001,2000,12245,2167839,316498,140881,1166419
1001,2001,10512,1824135,306866,194593,88551
1001,2002,9805,1405514,271902,165255,102643
1001,2003,8888,1192605,232941,152971,144565
1001,2004,9285,1645525,279938,190128,40054
1001,2005,9370,1496659,242706,165631,4792
1001,2006,10452,1763954,284517,191723,553865
1001,2007,9941,1508417,246084,168478,811950
1001,2008,12390,1903928,288506,202736,79589
1001,2009,12361,2018223,335790,245990,178763
1001,2010,12473,2278041,378270,283837,95266
1001,2011,11493,3945701,628436,475956,77433
1001,2012,11826,3501291,512856,391443,41732
1001,2013,11739,3086764,437990,320199,49641
1001,2014,11950,3993163,549805,395294,275846
1001,2015,10931,3527152,682420,524995,21009
1001,2016,10676,3026023,457500,344662,112767
1001,2017,10619,4036372,489825,365773,189844
1001,2018,10674,4120968,449899,329862,28616
1001,2019,10298,4113232,445535,327766,97844
1001,2020,0,0,0,0,0
1003,1989,11646,2786265,230439,67931,109702
1003,1990,16600,3534883,314679,91038,462772
1003,1991,10972,2748303,289158,84838,984664
1003,1992,8037,2131402,260979,76799,359357
1003,1993,7785,2062738,251939,74661,295817
1003,1994,12958,2231501,269686,80010,40275
1003,1995,55649,7376162,665092,461335,519977
1003,1996,51475,7688934,799935,440775,227209
1003,1997,46403,10392145,731883,422917,377089
1003,1998,40439,8891901,817588,433894,3160171
1003,1999,41450,9136476,973808,442446,301206
1003,2000,45712,10569206,1139238,518707,1416078
1003,2001,45122,13003385,1492576,909464,1100811
1003,2002,49302,11606381,1274306,776819,2282304
1003,2003,49467,13849378,1509366,914417,2212275
1003,2004,105368,14322027,1674927,1011955,2079390
1003,2005,97895,12270646,1346253,821381,754029
1003,2006,73626,11497283,1315915,807121,685694
1003,2007,75124,12044138,1345870,828259,239461
1003,2008,69349,15229322,1816382,1124871,248619
1003,2009,71292,14871949,1638559,1047489,659789
1003,2010,72851,18375414,2136324,1369748,1045179
1003,2011,64858,27920010,3700298,2436734,1203342
1003,2012,70204,33348254,2986468,1937189,683174
1003,2013,77446,26908349,2698652,1786945,1469835
1003,2014,73843,26324827,2310041,1528286,1393943
1003,2015,67481,23292768,2239818,1527949,1296192
1003,2016,60475,21798315,2271696,1528274,822342
1003,2017,58628,25255259,2537631,1687708,1825790
1003,2018,57504,24173678,2760545,1855947,3573563
1003,2019,51703,22532121,2179269,1446054,148043
1003,2020,215,33770,5700,2908,0
1005,1989,20480,10985576,539791,119312,1037485
1005,1990,19850,10436452,541112,115696,6639246
1005,1991,22591,12492659,793838,161115,741581
1005,1992,19441,11038062,819530,173515,264206
1005,1993,18618,10289667,815854,172445,2283257
1005,1994,18598,9534001,887410,194843,696046
1005,1995,27783,10093689,1045339,415473,1544879
1005,1996,26864,9267097,1059967,437151,376537
1005,1997,25774,7922065,891777,391052,1098407
1005,1998,23802,8144842,960436,393713,2326383
1005,1999,21105,7868687,982533,344527,630378
1005,2000,20865,7493802,997374,347818,3884147
1005,2001,19930,8403610,1196577,688123,1231762
1005,2002,15654,3735732,561374,328050,780753
1005,2003,12197,2848167,453062,265669,376196
1005,2004,14041,3716678,586583,344899,633026
1005,2005,13672,3515324,603718,350636,396615
1005,2006,13227,3058665,611400,359490,1053361
1005,2007,12062,2894903,647670,380421,843806
1005,2008,14755,4349747,907483,534150,1108147
1005,2009,14142,3432555,638851,397060,559872
1005,2010,18769,4053186,808617,498750,969675
1005,2011,14072,6872889,1252971,867793,1743153
1005,2012,14128,7023396,1281734,805063,273556
1005,2013,15178,6381440,1147183,754535,754786
1005,2014,14928,5690718,1182245,749550,666210
1005,2015,12832,4697939,830036,614704,355071
1005,2016,12457,4689589,841839,580687,932972
1005,2017,13042,5838899,912764,633372,377136
1005,2018,12513,5657413,826227,623320,369727
1005,2019,13128,5959927,884945,643989,89876
1005,2020,0,0,0,0,0
1007,1989,362,27018,5452,1574,6238
1007,1990,215,12024,1970,483,986
1007,2008,1411,173757,38192,21906,25917
1007,2009,224,60463,11999,7081,40648
1007,2010,403,56535,18512,13582,9647
1007,2011,358,117351,24974,16777,75917
1007,2012,422,98573,29859,22502,65945
1007,2013,531,138313,38479,29123,9399
1007,2014,374,84877,21758,14918,65857
1007,2015,443,75360,24800,16896,39483
1007,2016,536,101351,26540,17054,27103
1007,2017,632,114335,20487,14923,15333
1007,2018,669,203753,34754,25543,16366
1007,2019,490,121062,19180,13215,20190
1009,1989,737,189685,22897,5213,149639
1009,1990,781,163774,21969,4358,128845
1009,1991,578,99251,14386,3013,19325
1009,1992,268,52610,8103,1737,32078
1009,1993,286,99964,16000,3430,26817
1009,1994,129,48049,10159,2801,14675
1009,1995,3353,322756,27271,24667,10106
1009,1996,3449,325922,26188,23365,36735
1009,1997,3858,345439,27897,25766,83505
1009,1998,3044,454690,40103,24476,960
1009,1999,3343,519367,49719,25593,12209
1009,2000,3947,559989,59341,27876,31244
1009,2001,3095,605195,65811,41512,20970
1009,2002,3289,647497,64926,40673,2268
1009,2003,3263,656289,67408,45132,49211
1009,2004,3329,803478,82847,54896,4554
1009,2005,3687,702588,73670,49823,0
1009,2006,4059,867651,91954,62148,72683
1009,2007,3893,856540,98443,66278,91624
1009,2008,5620,1354097,167624,109858,52759
1009,2009,5140,1214322,170301,115485,20397
1009,2010,3385,1170322,160880,119783,45519
1009,2011,3367,1754442,172975,133459,12365
1009,2012,3826,1690118,178828,137429,6411
1009,2013,4851,2036363,204986,156592,22387
1009,2014,6139,2413284,230905,173662,27744
1009,2015,6168,2236996,230971,172847,20116
1009,2016,5561,1927549,181622,139543,118816
1009,2017,6315,2385224,225994,160836,85525
1009,2018,4863,2408277,169286,127642,31466
1009,2019,5134,2320866,137068,106974,0
1009,2020,0,0,0,0,0
1011,1989,3015,527683,40887,9246,121554
1011,1990,4244,824033,67158,13652,466878
1011,1991,1979,669193,50220,9525,177568
1011,1992,1588,464161,46429,10691,30223
1011,1993,2061,1074903,88951,18689,134856
1011,1994,1725,682041,75380,17614,101503
1011,1995,2804,835089,91929,43179,49617
1011,1996,2336,698295,74605,37455,6725
1011,1997,3167,936300,99882,49805,149988
1011,1998,2866,1021189,104109,51136,440874
1011,1999,2672,1118442,113265,36146,171920
1011,2000,2855,864071,117574,36004,463210
1011,2001,2408,628058,91240,51931,8263
1011,2002,2493,454126,68502,39246,67260
1011,2003,3527,801499,115596,65323,67435
1011,2004,3038,879972,124122,70207,87537
1011,2005,3168,963698,118780,67173,64435
1011,2006,8230,940250,163555,95945,365639
1011,2007,8020,994692,172237,101521,393859
1011,2008,9326,1442672,234698,140720,315095
1011,2009,9546,1275037,236734,145207,261979
1011,2010,7697,1337037,220203,134927,419958
1011,2011,6372,2320669,363115,246136,423783
1011,2012,6723,2412892,372186,233337,179485
1011,2013,7072,2070213,345552,236820,309456
1011,2014,8079,2452490,365391,245305,234281
1011,2015,6783,1847517,258857,190058,166161
1011,2016,5359,1775365,271477,198679,271118
1011,2017,6349,2216126,309405,227928,254759
1011,2018,6403,2320320,272741,202299,380737
1011,2019,6841,2577565,367536,260975,23450
1011,2020,282,26894,3794,1936,0
1013,1989,983,544538,21201,5557,55802
1013,1990,2176,715987,38535,11392,49375
1013,1991,1361,736959,32306,9730,34304
1013,1992,696,639476,29096,6802,0
1013,1993,840,803485,36803,8811,4551
1013,1994,960,773943,37461,8994,27726
1013,1995,6137,1369279,71125,43592,44107
1013,1996,5524,1315615,87638,41817,269
1013,1997,2458,1080984,52445,22373,81464
1013,1998,3248,1105824,55397,27891,61288
1013,1999,2903,1431436,99740,31212,65936
1013,2000,3125,953980,65422,25568,209581
1013,2001,4606,1832891,174207,99378,192552
1013,2002,4758,1472246,134363,76397,499708
1013,2003,4477,1330824,152990,86865,173904
1013,2004,4160,1313227,159705,90753,198954
1013,2005,4060,908037,124416,71351,79139
1013,2006,4019,712263,129859,75391,328190
1013,2007,3430,720545,145940,84908,345579
1013,2008,3247,901602,165834,97581,281732
1013,2009,3203,829841,184296,113934,206501
1013,2010,3477,1008077,217080,134799,150579
1013,2011,3781,1679713,376556,231749,605293
1013,2012,4260,1548130,329078,204259,99339
1013,2013,4225,1356739,294613,182805,66988
1013,2014,3663,1086600,231512,141684,65709
1013,2015,3535,1198479,254192,164002,81372
1013,2016,4209,1339451,291877,186452,179623
1013,2017,4019,1545383,299338,193142,113749
1013,2018,4072,1485450,262985,168023,223355
1013,2019,5121,2011402,314247,193551,66807
1013,2020,0,0,0,0,0
1015,1995,3907,259259,23960,22603,11734
1015,1996,2931,274029,22331,20346,0
1015,1997,1578,207619,21651,14413,2898
1015,1998,3150,364475,35761,22775,934
1015,1999,5395,732995,87591,43614,45978
1015,2000,6220,902838,93624,44103,133547
1015,2001,6090,1038566,116209,71329,14782
1015,2002,5825,759123,74843,49056,15729
1015,2003,7436,974500,113244,74079,138115
1015,2004,6266,1102320,131080,83521,7935
1015,2005,6344,1127648,134444,83234,4244
1015,2006,6206,1343329,163827,101675,164001
1015,2007,6413,1509650,202990,123604,200825
1015,2008,7076,1776171,269268,171001,75573
1015,2009,7660,1953742,327709,236132,48225
1015,2010,7590,2055611,301436,219193,121401
1015,2011,7895,3787847,512963,370177,28559
1015,2012,8180,3492433,417954,301273,38028
1015,2013,9374,3648690,409292,295909,199104
1015,2014,9340,3395138,336753,241560,75983
1015,2015,8856,3168066,374301,275593,9648
1015,2016,8987,2942170,322216,231145,290689
1015,2017,9343,3524450,358021,255878,163999
1015,2018,9442,3935920,372892,263594,43112
1015,2019,10354,4275140,351364,244448,60515
1015,2020,0,0,0,0,0
